algorithm,maze_size,maze_type,trial,steps,time,success,seed,wall_hits,memory_size
random,15x15,dfs,11,2000,0.016911029815673828,False,152,,
gedig_blind,15x15,dfs,11,102,0.007136106491088867,True,152,50.0,
gedig_visual,15x15,dfs,11,52,0.004152059555053711,True,152,,48.0
random,15x15,dfs,12,2000,0.016861915588378906,False,162,,
gedig_blind,15x15,dfs,12,169,0.012539148330688477,True,162,85.0,
gedig_visual,15x15,dfs,12,84,0.007227897644042969,True,162,,78.0
random,15x15,dfs,13,2000,0.020588159561157227,False,172,,
gedig_blind,15x15,dfs,13,251,0.023339033126831055,True,172,127.0,
gedig_visual,15x15,dfs,13,124,0.011914968490600586,True,172,,80.0
random,15x15,dfs,14,2000,0.017563819885253906,False,182,,
gedig_blind,15x15,dfs,14,213,0.015108823776245117,True,182,105.0,
gedig_visual,15x15,dfs,14,108,0.008790969848632812,True,182,,74.0
random,15x15,dfs,15,2000,0.018806934356689453,False,192,,
gedig_blind,15x15,dfs,15,154,0.012130022048950195,True,192,78.0,
gedig_visual,15x15,dfs,15,76,0.006173849105834961,True,192,,60.0
random,15x15,dfs,16,2000,0.017269134521484375,False,202,,
gedig_blind,15x15,dfs,16,118,0.009831905364990234,True,202,58.0,
gedig_visual,15x15,dfs,16,60,0.004706144332885742,True,202,,52.0
random,15x15,dfs,17,2000,0.017029762268066406,False,212,,
gedig_blind,15x15,dfs,17,64,0.0048980712890625,True,212,32.0,
gedig_visual,15x15,dfs,17,32,0.002557039260864258,True,212,,32.0
random,15x15,dfs,18,2000,0.017380952835083008,False,222,,
gedig_blind,15x15,dfs,18,100,0.0070688724517822266,True,222,52.0,
gedig_visual,15x15,dfs,18,48,0.004295825958251953,True,222,,48.0
random,15x15,dfs,19,2000,0.019261837005615234,False,232,,
gedig_blind,15x15,dfs,19,212,0.01572704315185547,True,232,108.0,
gedig_visual,15x15,dfs,19,104,0.008524656295776367,True,232,,88.0
random,15x15,dfs,20,2000,0.017503976821899414,False,242,,
gedig_blind,15x15,dfs,20,134,0.010354042053222656,True,242,66.0,
gedig_visual,15x15,dfs,20,68,0.005535125732421875,True,242,,60.0
random,15x15,dfs,21,2000,0.018738985061645508,False,252,,
gedig_blind,15x15,dfs,21,127,0.009799957275390625,True,252,59.0,
gedig_visual,15x15,dfs,21,68,0.005506038665771484,True,252,,68.0
random,15x15,dfs,22,347,0.0032927989959716797,True,262,,
gedig_blind,15x15,dfs,22,166,0.01341104507446289,True,262,82.0,
gedig_visual,15x15,dfs,22,84,0.00900888442993164,True,262,,56.0
random,15x15,dfs,23,2000,0.017968177795410156,False,272,,
gedig_blind,15x15,dfs,23,237,0.018043041229248047,True,272,117.0,
gedig_visual,15x15,dfs,23,120,0.011195898056030273,True,272,,80.0
random,15x15,dfs,24,2000,0.019668102264404297,False,282,,
gedig_blind,15x15,dfs,24,139,0.010406017303466797,True,282,67.0,
gedig_visual,15x15,dfs,24,72,0.006840944290161133,True,282,,66.0
random,15x15,dfs,25,2000,0.019133329391479492,False,292,,
gedig_blind,15x15,dfs,25,218,0.01651930809020996,True,292,106.0,
gedig_visual,15x15,dfs,25,112,0.009263038635253906,True,292,,94.0
random,15x15,dfs,26,2000,0.019166231155395508,False,302,,
gedig_blind,15x15,dfs,26,161,0.012538909912109375,True,302,81.0,
gedig_visual,15x15,dfs,26,80,0.006518125534057617,True,302,,68.0
random,15x15,dfs,27,2000,0.017624855041503906,False,312,,
gedig_blind,15x15,dfs,27,98,0.007243156433105469,True,312,54.0,
gedig_visual,15x15,dfs,27,44,0.0062601566314697266,True,312,,44.0
random,15x15,dfs,28,1900,0.01790165901184082,True,322,,
gedig_blind,15x15,dfs,28,240,0.019608020782470703,True,322,116.0,
gedig_visual,15x15,dfs,28,124,0.012816905975341797,True,322,,86.0
random,15x15,dfs,29,2000,0.01792621612548828,False,332,,
gedig_blind,15x15,dfs,29,179,0.013787984848022461,True,332,91.0,
gedig_visual,15x15,dfs,29,88,0.007325172424316406,True,332,,62.0
random,20x20,dfs,0,2000,0.018322229385375977,False,42,,
gedig_blind,20x20,dfs,0,380,0.02817702293395996,True,42,186.0,
gedig_visual,20x20,dfs,0,194,0.02107977867126465,True,42,,141.0
random,20x20,dfs,1,2000,0.0180051326751709,False,52,,
gedig_blind,20x20,dfs,1,368,0.028738975524902344,True,52,184.0,
gedig_visual,20x20,dfs,1,184,0.01497197151184082,True,52,,144.0
random,20x20,dfs,2,2000,0.016995906829833984,False,62,,
gedig_blind,20x20,dfs,2,282,0.021571874618530273,True,62,134.0,
gedig_visual,20x20,dfs,2,148,0.01281285285949707,True,62,,112.0
random,20x20,dfs,3,2000,0.018419981002807617,False,72,,
gedig_blind,20x20,dfs,3,140,0.010217905044555664,True,72,68.0,
gedig_visual,20x20,dfs,3,72,0.0058460235595703125,True,72,,72.0
random,20x20,dfs,4,2000,0.017351865768432617,False,82,,
gedig_blind,20x20,dfs,4,539,0.03781914710998535,True,82,267.0,
gedig_visual,20x20,dfs,4,272,0.02228713035583496,True,82,,182.0
random,20x20,dfs,5,2000,0.023561954498291016,False,92,,
gedig_blind,20x20,dfs,5,496,0.03499317169189453,True,92,248.0,
gedig_visual,20x20,dfs,5,248,0.019943952560424805,True,92,,152.0
random,20x20,dfs,6,2000,0.017452001571655273,False,102,,
gedig_blind,20x20,dfs,6,293,0.021797895431518555,True,102,149.0,
gedig_visual,20x20,dfs,6,144,0.011907100677490234,True,102,,116.0
random,20x20,dfs,7,2000,0.01713418960571289,False,112,,
gedig_blind,20x20,dfs,7,594,0.04349708557128906,True,112,300.0,
gedig_visual,20x20,dfs,7,294,0.02410578727722168,True,112,,189.0
random,20x20,dfs,8,2000,0.0169680118560791,False,122,,
gedig_blind,20x20,dfs,8,346,0.024338960647583008,True,122,172.0,
gedig_visual,20x20,dfs,8,174,0.014470338821411133,True,122,,141.0
random,20x20,dfs,9,2000,0.01670980453491211,False,132,,
gedig_blind,20x20,dfs,9,413,0.02953815460205078,True,132,209.0,
gedig_visual,20x20,dfs,9,204,0.01622295379638672,True,132,,158.0
random,20x20,dfs,10,2000,0.017329692840576172,False,142,,
gedig_blind,20x20,dfs,10,195,0.018489837646484375,True,142,99.0,
gedig_visual,20x20,dfs,10,96,0.009273052215576172,True,142,,90.0
random,20x20,dfs,11,2000,0.017255306243896484,False,152,,
gedig_blind,20x20,dfs,11,476,0.03474998474121094,True,152,238.0,
gedig_visual,20x20,dfs,11,238,0.01894211769104004,True,152,,180.0
random,20x20,dfs,12,2000,0.016720294952392578,False,162,,
gedig_blind,20x20,dfs,12,466,0.03471732139587402,True,162,232.0,
gedig_visual,20x20,dfs,12,234,0.01999688148498535,True,162,,179.0
random,20x20,dfs,13,2000,0.018674135208129883,False,172,,
gedig_blind,20x20,dfs,13,399,0.02815723419189453,True,172,201.0,
gedig_visual,20x20,dfs,13,198,0.016039133071899414,True,172,,168.0
random,20x20,dfs,14,2000,0.017859935760498047,False,182,,
gedig_blind,20x20,dfs,14,509,0.037947893142700195,True,182,255.0,
gedig_visual,20x20,dfs,14,254,0.02034616470336914,True,182,,186.0
random,20x20,dfs,15,2000,0.016304969787597656,False,192,,
gedig_blind,20x20,dfs,15,449,0.03229117393493652,True,192,229.0,
gedig_visual,20x20,dfs,15,220,0.019367218017578125,True,192,,143.0
random,20x20,dfs,16,2000,0.01832294464111328,False,202,,
gedig_blind,20x20,dfs,16,381,0.02911996841430664,True,202,195.0,
gedig_visual,20x20,dfs,16,186,0.01570725440979004,True,202,,160.0
random,20x20,dfs,17,2000,0.01747727394104004,False,212,,
gedig_blind,20x20,dfs,17,292,0.021029949188232422,True,212,152.0,
gedig_visual,20x20,dfs,17,140,0.012006998062133789,True,212,,126.0
random,20x20,dfs,18,2000,0.01804804801940918,False,222,,
gedig_blind,20x20,dfs,18,153,0.012058734893798828,True,222,77.0,
gedig_visual,20x20,dfs,18,76,0.005998849868774414,True,222,,74.0
random,20x20,dfs,19,2000,0.016300678253173828,False,232,,
gedig_blind,20x20,dfs,19,479,0.032765865325927734,True,232,241.0,
gedig_visual,20x20,dfs,19,238,0.018820762634277344,True,232,,148.0
random,20x20,dfs,20,2000,0.018435001373291016,False,242,,
gedig_blind,20x20,dfs,20,285,0.021430015563964844,True,242,139.0,
gedig_visual,20x20,dfs,20,146,0.011895895004272461,True,242,,124.0
random,20x20,dfs,21,2000,0.01663804054260254,False,252,,
gedig_blind,20x20,dfs,21,564,0.03829622268676758,True,252,282.0,
gedig_visual,20x20,dfs,21,282,0.023082256317138672,True,252,,185.0
random,20x20,dfs,22,738,0.006276845932006836,True,262,,
gedig_blind,20x20,dfs,22,86,0.00641322135925293,True,262,40.0,
gedig_visual,20x20,dfs,22,46,0.003571033477783203,True,262,,46.0
random,20x20,dfs,23,2000,0.01695108413696289,False,272,,
gedig_blind,20x20,dfs,23,281,0.020303726196289062,True,272,139.0,
gedig_visual,20x20,dfs,23,142,0.011134862899780273,True,272,,110.0
random,20x20,dfs,24,2000,0.016613006591796875,False,282,,
gedig_blind,20x20,dfs,24,315,0.02260112762451172,True,282,153.0,
gedig_visual,20x20,dfs,24,162,0.01381230354309082,True,282,,150.0
random,20x20,dfs,25,2000,0.018382787704467773,False,292,,
gedig_blind,20x20,dfs,25,101,0.007354021072387695,True,292,49.0,
gedig_visual,20x20,dfs,25,52,0.003991842269897461,True,292,,50.0
random,20x20,dfs,26,2000,0.017101049423217773,False,302,,
gedig_blind,20x20,dfs,26,228,0.016730308532714844,True,302,110.0,
gedig_visual,20x20,dfs,26,118,0.00970602035522461,True,302,,112.0
random,20x20,dfs,27,2000,0.0172579288482666,False,312,,
gedig_blind,20x20,dfs,27,262,0.018414020538330078,True,312,128.0,
gedig_visual,20x20,dfs,27,134,0.011548995971679688,True,312,,113.0
random,20x20,dfs,28,2000,0.018671035766601562,False,322,,
gedig_blind,20x20,dfs,28,329,0.02454829216003418,True,322,171.0,
gedig_visual,20x20,dfs,28,158,0.013000965118408203,True,322,,118.0
random,20x20,dfs,29,2000,0.016211986541748047,False,332,,
gedig_blind,20x20,dfs,29,304,0.02201104164123535,True,332,150.0,
gedig_visual,20x20,dfs,29,154,0.012145757675170898,True,332,,150.0
random,25x25,dfs,0,2000,0.017788171768188477,False,42,,
